,Type IV,Type III,Type II,Type I,Month
0,263.2535705566406,108.0804443359375,399.6664733886719,35.548744201660156,Jan
1,173.5836181640625,80.33495330810547,279.75732421875,28.472917556762695,Feb
2,146.41265869140625,82.45909118652344,228.32528686523438,34.31765365600586,Mar
3,117.43221282958984,88.78031921386719,148.8228302001953,59.72862243652344,Apr
4,177.68663024902344,185.14285278320312,196.78353881835938,219.9804229736328,May
5,226.4623565673828,234.99893188476562,216.77540588378906,341.4373779296875,Jun
6,228.5464630126953,274.6470642089844,259.3903503417969,489.4959716796875,Jul
7,191.820556640625,240.40353393554688,202.1221923828125,539.7639770507812,Aug
8,202.92111206054688,244.5257110595703,249.63687133789062,387.4781494140625,Sep
9,237.10415649414062,265.5340576171875,346.9880065917969,243.39535522460938,Oct
10,219.03732299804688,215.23379516601562,443.02685546875,122.76847076416016,Nov
11,267.0062255859375,190.11962890625,547.679443359375,84.39769744873047,Dec
